provincia,semana_id,anio_epi,semana,calendar_start_date,casos
IMBABURA,2013-W24,2013,24,2013-06-16,0.0
PICHINCHA,2013-W24,2013,24,2013-06-16,1.0
BOLIVAR,2013-W24,2013,24,2013-06-16,14.0
COTOPAXI,2013-W24,2013,24,2013-06-16,0.0
TUNGURAHUA,2013-W24,2013,24,2013-06-16,0.0
CHIMBORAZO,2013-W24,2013,24,2013-06-16,4.0
CANAR,2013-W24,2013,24,2013-06-16,5.0
AZUAY,2013-W24,2013,24,2013-06-16,2.0
LOJA,2013-W24,2013,24,2013-06-16,0.0
SUCUMBIOS,2013-W24,2013,24,2013-06-16,1.0
NAPO,2013-W24,2013,24,2013-06-16,3.0
ORELLANA,2013-W24,2013,24,2013-06-16,37.0
PASTAZA,2013-W24,2013,24,2013-06-16,1.0
MORONA SANTIAGO,2013-W24,2013,24,2013-06-16,9.0
ZAMORA CHINCHIPE,2013-W24,2013,24,2013-06-16,0.0
GUAYAS,2013-W25,2013,25,2013-06-23,90.0
MANABI,2013-W25,2013,25,2013-06-23,13.0
LOS RIOS,2013-W25,2013,25,2013-06-23,26.0
EL ORO,2013-W25,2013,25,2013-06-23,26.0
ESMERALDAS,2013-W25,2013,25,2013-06-23,3.0
CARCHI,2013-W25,2013,25,2013-06-23,0.0
IMBABURA,2013-W25,2013,25,2013-06-23,0.0
PICHINCHA,2013-W25,2013,25,2013-06-23,1.0
BOLIVAR,2013-W25,2013,25,2013-06-23,2.0
COTOPAXI,2013-W25,2013,25,2013-06-23,0.0
TUNGURAHUA,2013-W25,2013,25,2013-06-23,0.0
CHIMBORAZO,2013-W25,2013,25,2013-06-23,0.0
CANAR,2013-W25,2013,25,2013-06-23,3.0
AZUAY,2013-W25,2013,25,2013-06-23,1.0
LOJA,2013-W25,2013,25,2013-06-23,0.0
SUCUMBIOS,2013-W25,2013,25,2013-06-23,1.0
NAPO,2013-W25,2013,25,2013-06-23,1.0
ORELLANA,2013-W25,2013,25,2013-06-23,23.0
PASTAZA,2013-W25,2013,25,2013-06-23,0.0
MORONA SANTIAGO,2013-W25,2013,25,2013-06-23,13.0
ZAMORA CHINCHIPE,2013-W25,2013,25,2013-06-23,1.0
GUAYAS,2013-W27,2013,27,2013-07-07,63.0
MANABI,2013-W27,2013,27,2013-07-07,4.0
LOS RIOS,2013-W27,2013,27,2013-07-07,20.0
EL ORO,2013-W27,2013,27,2013-07-07,22.0
ESMERALDAS,2013-W27,2013,27,2013-07-07,5.0
CARCHI,2013-W27,2013,27,2013-07-07,0.0
IMBABURA,2013-W27,2013,27,2013-07-07,0.0
PICHINCHA,2013-W27,2013,27,2013-07-07,4.0
BOLIVAR,2013-W27,2013,27,2013-07-07,0.0
COTOPAXI,2013-W27,2013,27,2013-07-07,0.0
TUNGURAHUA,2013-W27,2013,27,2013-07-07,0.0
CHIMBORAZO,2013-W27,2013,27,2013-07-07,0.0
CANAR,2013-W27,2013,27,2013-07-07,3.0
AZUAY,2013-W27,2013,27,2013-07-07,0.0
LOJA,2013-W27,2013,27,2013-07-07,0.0
SUCUMBIOS,2013-W27,2013,27,2013-07-07,0.0
NAPO,2013-W27,2013,27,2013-07-07,3.0
ORELLANA,2013-W27,2013,27,2013-07-07,18.0
PASTAZA,2013-W27,2013,27,2013-07-07,0.0
MORONA SANTIAGO,2013-W27,2013,27,2013-07-07,10.0
ZAMORA CHINCHIPE,2013-W27,2013,27,2013-07-07,0.0
GUAYAS,2013-W28,2013,28,2013-07-14,41.0
