id,nombre,zona,fecha_corte,fecha_fin,duracion_horas,duracion_horas_num,pidio_almacenar,fuente,fuente_url,confianza,lat,lon,origen_lista
juan-bautista,Juan Bautista,Norte,2023-05-29,2023-06-03,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-del-norte-centro-y-suburbio-que-tendran-suspension-del-servicio-de-agua-potable-entre-el-29-de-mayo-y-3-de-junio-nota/,B,,,sectores_ejemplo
pascuales,Pascuales,Norte,2023-05-29,2023-06-03,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-del-norte-centro-y-suburbio-que-tendran-suspension-del-servicio-de-agua-potable-entre-el-29-de-mayo-y-3-de-junio-nota/,B,,,sectores_ejemplo
la-florida,La Florida,Norte,2023-05-29,2023-06-03,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-del-norte-centro-y-suburbio-que-tendran-suspension-del-servicio-de-agua-potable-entre-el-29-de-mayo-y-3-de-junio-nota/,B,,,sectores_ejemplo
parroquia-roca,parroquia Roca,Norte,2023-05-29,2023-06-03,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-del-norte-centro-y-suburbio-que-tendran-suspension-del-servicio-de-agua-potable-entre-el-29-de-mayo-y-3-de-junio-nota/,B,,,sectores_ejemplo
jambeli,Jambeli,Norte,2023-05-29,2023-06-03,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/estos-son-los-sectores-del-norte-centro-y-suburbio-que-tendran-suspension-del-servicio-de-agua-potable-entre-el-29-de-mayo-y-3-de-junio-nota/,B,,,sectores_ejemplo
los-ceibos,Los Ceibos,Norte/Centro/Sur,2023-06-12,2023-06-16,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-interagua-entre-el-12-y-16-de-junio-nota/,B,,,sectores_ejemplo
las-cumbres,Las Cumbres,Norte/Centro/Sur,2023-06-12,2023-06-16,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-interagua-entre-el-12-y-16-de-junio-nota/,B,,,sectores_ejemplo
las-orquideas,Las Orquideas,Norte/Centro/Sur,2023-06-12,2023-06-16,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-interagua-entre-el-12-y-16-de-junio-nota/,B,,,sectores_ejemplo
jardines-del-salado,Jardines del Salado,Norte/Centro/Sur,2023-06-12,2023-06-16,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-interagua-entre-el-12-y-16-de-junio-nota/,B,,,sectores_ejemplo
jaime-roldos,Jaime Roldos,Norte/Centro/Sur,2023-06-12,2023-06-16,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-de-agua-interagua-entre-el-12-y-16-de-junio-nota/,B,,,sectores_ejemplo
reina-del-quinche,Reina del Quinche,Norte/Centro/Sur,2023-07-03,2023-07-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-agua-potable-35-sectores-guayaquil-trabajos-interagua-nota/,B,,,sectores_ejemplo
los-manguitos,Los Manguitos,Norte/Centro/Sur,2023-07-03,2023-07-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-agua-potable-35-sectores-guayaquil-trabajos-interagua-nota/,B,,,sectores_ejemplo
pascuales,Pascuales,Norte/Centro/Sur,2023-07-03,2023-07-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-agua-potable-35-sectores-guayaquil-trabajos-interagua-nota/,B,,,sectores_ejemplo
suburbio-febres-cordero,suburbio Febres Cordero,Norte/Centro/Sur,2023-07-03,2023-07-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/corte-agua-potable-35-sectores-guayaquil-trabajos-interagua-nota/,B,,,sectores_ejemplo
isla-puna-alta,isla Puna Alta,Norte,2023-07-11,2023-07-13,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/sectores-de-guayaquil-que-tendran-cortes-de-agua-entre-el-11-y-13-de-julio-por-trabajos-de-interagua-nota/,B,,,sectores_ejemplo
coop-25-de-julio,coop 25 de Julio,Norte,2023-07-11,2023-07-13,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/sectores-de-guayaquil-que-tendran-cortes-de-agua-entre-el-11-y-13-de-julio-por-trabajos-de-interagua-nota/,B,,,sectores_ejemplo
parroquia-ayacucho,parroquia Ayacucho,Norte,2023-07-11,2023-07-13,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/sectores-de-guayaquil-que-tendran-cortes-de-agua-entre-el-11-y-13-de-julio-por-trabajos-de-interagua-nota/,B,,,sectores_ejemplo
puerto-el-morro,Puerto El Morro,Norte,2023-07-11,2023-07-13,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/sectores-de-guayaquil-que-tendran-cortes-de-agua-entre-el-11-y-13-de-julio-por-trabajos-de-interagua-nota/,B,,,sectores_ejemplo
cerro-del-carmen,cerro del Carmen,Norte/Centro/Sur,2023-07-17,2023-07-21,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/los-ceibos-cerro-del-carmen-y-otros-sectores-del-norte-y-sur-se-quedaran-sin-agua-entre-el-17-y-21-de-julio-nota/,B,,,sectores_ejemplo
bastion-popular,Bastion Popular,Norte/Centro/Sur,2023-07-17,2023-07-21,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/los-ceibos-cerro-del-carmen-y-otros-sectores-del-norte-y-sur-se-quedaran-sin-agua-entre-el-17-y-21-de-julio-nota/,B,,,sectores_ejemplo
los-ceibos,Los Ceibos,Norte/Centro/Sur,2023-07-17,2023-07-21,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/los-ceibos-cerro-del-carmen-y-otros-sectores-del-norte-y-sur-se-quedaran-sin-agua-entre-el-17-y-21-de-julio-nota/,B,,,sectores_ejemplo
chongon,Chongon,Norte/Centro/Sur,2023-07-17,2023-07-21,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/los-ceibos-cerro-del-carmen-y-otros-sectores-del-norte-y-sur-se-quedaran-sin-agua-entre-el-17-y-21-de-julio-nota/,B,,,sectores_ejemplo
iess-naval-sur,IESS Naval Sur,Norte/Centro/Sur,2023-07-17,2023-07-21,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/los-ceibos-cerro-del-carmen-y-otros-sectores-del-norte-y-sur-se-quedaran-sin-agua-entre-el-17-y-21-de-julio-nota/,B,,,sectores_ejemplo
posorja,Posorja,Norte,2023-07-25,2023-07-28,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/interagua-guayaquil-cortes-de-agua-semana-24-al-27-de-julio-nota/,B,,,sectores_ejemplo
